device_id,LocationCode,device_ip,sdk_ts,latitude,longitude,accuracy,country,Geohash
MZOUeVmVQq+FwPNTcidUPg==,A153,asaMMA==,2021-03-02 08:15:29 UTC,28.46667,77.03333,6,IN,ttncby
MZOUeVmVQq+FwPNTcidUPg==,A278,asaMMA==,2021-03-02 08:15:29 UTC,28.46667,77.03333,6,IN,ttncby
MZOUeVmVQq+FwPNTcidUPg==,A412,asaMMA==,2021-03-02 08:15:29 UTC,28.46667,77.03333,6,IN,ttncby
3Nycf2OCRXmv3JJsRaqGNA==,A153,asMErg==,2021-03-04 05:12:15 UTC,28.46667,77.03333,6,IN,ttncby
3Nycf2OCRXmv3JJsRaqGNA==,A278,asMErg==,2021-03-04 05:12:15 UTC,28.46667,77.03333,6,IN,ttncby
3Nycf2OCRXmv3JJsRaqGNA==,A412,asMErg==,2021-03-04 05:12:15 UTC,28.46667,77.03333,6,IN,ttncby
ygwUq4nZQqeML4zTa3h4ww==,A153,Lx8MUg==,2021-03-02 15:37:42 UTC,28.46667,77.03333,6,IN,ttncby
ygwUq4nZQqeML4zTa3h4ww==,A278,Lx8MUg==,2021-03-02 15:37:42 UTC,28.46667,77.03333,6,IN,ttncby
ygwUq4nZQqeML4zTa3h4ww==,A412,Lx8MUg==,2021-03-02 15:37:42 UTC,28.46667,77.03333,6,IN,ttncby
QRrglJ3NSuO99yc7CsDCZg==,A153,asNIwg==,2021-03-04 10:26:00 UTC,28.46667,77.03333,3,IN,ttncby
QRrglJ3NSuO99yc7CsDCZg==,A278,asNIwg==,2021-03-04 10:26:00 UTC,28.46667,77.03333,3,IN,ttncby
QRrglJ3NSuO99yc7CsDCZg==,A412,asNIwg==,2021-03-04 10:26:00 UTC,28.46667,77.03333,3,IN,ttncby
o2k+8EXzS12EFF+FYrqN5Q==,A153,37lP8A==,2021-03-04 12:01:28 UTC,28.46667,77.03333,2,IN,ttncby
o2k+8EXzS12EFF+FYrqN5Q==,A278,37lP8A==,2021-03-04 12:01:28 UTC,28.46667,77.03333,2,IN,ttncby
o2k+8EXzS12EFF+FYrqN5Q==,A412,37lP8A==,2021-03-04 12:01:28 UTC,28.46667,77.03333,2,IN,ttncby
C7cLKSvRQ3WkPEjS9dLkhQ==,A153,3+NDdA==,2021-03-04 06:55:25 UTC,28.46667,77.03333,3,IN,ttncby
C7cLKSvRQ3WkPEjS9dLkhQ==,A278,3+NDdA==,2021-03-04 06:55:25 UTC,28.46667,77.03333,3,IN,ttncby
C7cLKSvRQ3WkPEjS9dLkhQ==,A412,3+NDdA==,2021-03-04 06:55:25 UTC,28.46667,77.03333,3,IN,ttncby
IGWr3AlJTX2Kqtd/QIu27g==,A153,373Fbw==,2021-03-02 11:36:58 UTC,28.46667,77.03333,4,IN,ttncby
IGWr3AlJTX2Kqtd/QIu27g==,A278,373Fbw==,2021-03-02 11:36:58 UTC,28.46667,77.03333,4,IN,ttncby
IGWr3AlJTX2Kqtd/QIu27g==,A412,373Fbw==,2021-03-02 11:36:58 UTC,28.46667,77.03333,4,IN,ttncby
JIg49LKeRZ2bZTwmLJbpdw==,A153,asMFSw==,2021-03-04 04:50:32 UTC,28.46667,77.03333,2,IN,ttncby
JIg49LKeRZ2bZTwmLJbpdw==,A278,asMFSw==,2021-03-04 04:50:32 UTC,28.46667,77.03333,2,IN,ttncby
JIg49LKeRZ2bZTwmLJbpdw==,A412,asMFSw==,2021-03-04 04:50:32 UTC,28.46667,77.03333,2,IN,ttncby
X0167PAKTvy62Wjf2PlDoA==,A153,3+NPEQ==,2021-03-04 05:40:22 UTC,28.46667,77.03333,3,IN,ttncby
X0167PAKTvy62Wjf2PlDoA==,A278,3+NPEQ==,2021-03-04 05:40:22 UTC,28.46667,77.03333,3,IN,ttncby
X0167PAKTvy62Wjf2PlDoA==,A412,3+NPEQ==,2021-03-04 05:40:22 UTC,28.46667,77.03333,3,IN,ttncby
765A7NPeTwyA3eUAd9HsZg==,A153,373RDQ==,2021-03-04 05:38:44 UTC,28.46667,77.03333,9,IN,ttncby
765A7NPeTwyA3eUAd9HsZg==,A278,373RDQ==,2021-03-04 05:38:44 UTC,28.46667,77.03333,9,IN,ttncby
